,text_id,token,ageism,aporophobia,body_shame,capacitism,lgbtphobia,political,racism,religious_intolerance,misogyny,xenophobia,other,not_hate
258,3472,▁put,0.08439979,0.34764534,-0.01505211,0.11133093,-0.396347,-0.30235982,-0.034035712,0.2203733,0.32793954,0.042087913,-1.3368324,0.13807558
259,3472,a,0.11147448,0.17327121,0.08884908,0.16770557,-0.095836416,-0.14311291,-0.03165502,0.07036553,0.00490427,0.003773205,-0.104769535,-0.014359891
260,3472,▁p,-0.00415235,0.15954058,0.033306632,0.10519369,-0.2980151,-0.065077476,0.09463818,0.11870261,0.105446994,0.185248,0.5135229,0.0009827763
261,3472,q,-0.15199009,0.06936756,0.0904962,-0.012412306,-0.7390377,-0.21388078,-0.1475535,0.2341815,0.13905998,0.018056326,0.23485301,-0.50525063
262,3472,▁n,0.17400779,0.20999666,0.11982137,0.09055045,0.0010940954,-0.10302813,0.019808851,0.36621982,0.22988124,0.17380944,-0.19133544,-0.3003118
263,3472,▁sai,-0.15226728,-0.05496917,0.122148044,-0.18956347,-0.39896524,-0.29999888,-0.16017267,-0.011744931,0.03662145,-0.12686588,0.40969494,-0.38576174
264,3472,▁da,0.030544713,-0.023274392,0.26126054,0.16716164,-0.24617435,0.011605799,-0.22233666,0.07709374,0.09176016,-0.043541007,0.210533,-0.63213634
265,3472,▁casa,-0.06751105,0.12393485,0.027418226,-0.0640384,-0.14371115,-0.22125348,-0.09356743,-0.06289254,0.15709929,-0.107191846,-0.22172284,-0.06840392
266,3472,▁do,-0.08261449,-0.060568303,0.0022233725,-0.18519717,-0.5606495,-0.3217296,-0.08196938,-0.13176852,-0.09764945,0.094321206,0.03795086,0.27663147
267,3472,s,0.17872691,0.16153881,0.12876628,0.11847054,0.2547441,0.36844185,0.09439461,0.014091723,0.08479716,0.09314738,-0.084781855,-0.13877445
268,3472,"▁56,",-0.3341421,-0.06947769,-0.21978977,-0.3712791,-0.5791094,-0.47330165,-0.33072215,0.025694862,0.05449322,-0.045873635,-0.62859994,0.065173484
269,3472,5,-0.31582123,-0.15226829,-0.2825327,-0.36111504,-0.7328803,-0.51873827,-0.3389131,-0.023189023,-0.2732563,-0.29412112,-0.578928,0.34960127
270,3472,kg,-0.648859,-0.25550503,-0.30021822,-0.52727485,-0.9415107,-0.22265413,-0.62142587,0.14006005,-0.16196176,-0.2614447,-0.65000725,-0.70875525
271,3472,▁link,-0.33456963,0.0038717687,-0.117437035,-0.16434732,-0.8582268,0.05662694,-0.3195891,0.21632753,0.16016242,0.21313316,0.3860465,-0.30317426
272,3568,▁@,-0.086014315,-0.7101203,-0.4447323,0.27275538,1.0371335,-0.046567336,-1.1382517,0.44605005,-0.6703433,0.9419563,1.017611,-1.4517795
273,3568,user,-2.0497162,-3.1555557,-3.038471,-1.3204844,0.60790676,-0.4689539,-2.9738507,-0.28179654,-0.82012606,-0.4333809,0.2546666,-1.66414
